depth,from,to,call_type,function,gas_allocated,gas_used,gas_remaining,tx_gas_price,block_base_fee
0,0xa5cef5eefd539c1f5f5b952cfbf8ee38fee16bc7,0xaf343cd2b131e0532264e0d4872c52f874523117,call,swap,179537,148008,31529,1097726575,962144442
1,0xaf343cd2b131e0532264e0d4872c52f874523117,0x34ebbf85ece492cf3910dbe8b1896f6be0357478,staticcall,Unresolved_16bad319,171043,2848,168195,1097726575,962144442
1,0xaf343cd2b131e0532264e0d4872c52f874523117,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,call,execute,146859,117496,29363,1097726575,962144442
2,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,call,deposit,128891,23974,104917,1097726575,962144442
2,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,call,transfer,103063,8062,95001,1097726575,962144442
2,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0x7287d4571b9e0e461107619219d4c20e7a4cbf90,staticcall,balanceOf,92210,2863,89347,1097726575,962144442
2,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0x65654d410dc1b30aa6eb180b9c699b076ba9beef,staticcall,getReserves,85907,2504,83403,1097726575,962144442
2,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,staticcall,balanceOf,82731,534,82197,1097726575,962144442
2,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0x65654d410dc1b30aa6eb180b9c699b076ba9beef,call,Unresolved_022c0d9f,80926,50956,29970,1097726575,962144442
3,0x65654d410dc1b30aa6eb180b9c699b076ba9beef,0x7287d4571b9e0e461107619219d4c20e7a4cbf90,call,transfer,68957,28652,40305,1097726575,962144442
3,0x65654d410dc1b30aa6eb180b9c699b076ba9beef,0x7287d4571b9e0e461107619219d4c20e7a4cbf90,staticcall,balanceOf,40131,863,39268,1097726575,962144442
3,0x65654d410dc1b30aa6eb180b9c699b076ba9beef,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,staticcall,balanceOf,38876,534,38342,1097726575,962144442
2,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0x7287d4571b9e0e461107619219d4c20e7a4cbf90,staticcall,balanceOf,30409,863,29546,1097726575,962144442
