depth,from,to,call_type,function,gas_allocated,gas_used,gas_remaining
0,0xfde0d1575ed8e06fbf36256bcdfa1f359281455a,0x80bf7db69556d9521c03461978b8fc731dbbd4e4,call,yoink,2804441,1820248,984193
1,0x80bf7db69556d9521c03461978b8fc731dbbd4e4,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,call,approve,2757382,24420,2732962
1,0x80bf7db69556d9521c03461978b8fc731dbbd4e4,0x04c154b66cb340f3ae24111cc767e0184ed00cc6,call,approve,2730239,24601,2705638
1,0x80bf7db69556d9521c03461978b8fc731dbbd4e4,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,call,approve,2702919,33962,2668957
2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x43506849d7c04f9138d1a2050bbf3a0c054402dd,delegatecall,approve,2653555,26673,2626882
1,0x80bf7db69556d9521c03461978b8fc731dbbd4e4,0x1899ad7268e4e76d21b6a04061e17cec847a111b,call,approve,2666384,24442,2641942
1,0x80bf7db69556d9521c03461978b8fc731dbbd4e4,0x7cbbe5d46146e69cd09d26f317ebadd324fc3e9d,call,approve,2639220,32765,2606455
2,0x7cbbe5d46146e69cd09d26f317ebadd324fc3e9d,0x28cd26607b09f6a2c89c1ec02cc5ec9b25cb0257,staticcall,implementation,2595283,2308,2592975
2,0x7cbbe5d46146e69cd09d26f317ebadd324fc3e9d,0x7c9c6c832a94511586c52561fce8cfc9db88f91b,delegatecall,approve,2590183,24801,2565382
1,0x80bf7db69556d9521c03461978b8fc731dbbd4e4,0x91d07e071ed64ea2a11ecea0a067e275697f404b,call,approve,2603863,24819,2579044
1,0x80bf7db69556d9521c03461978b8fc731dbbd4e4,0xbbbbbbbbbb9cc5e90e3b3af64bdaf62c37eeffcb,call,flashLoan,2576055,1612608,963447
2,0xbbbbbbbbbb9cc5e90e3b3af64bdaf62c37eeffcb,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,call,transfer,2532290,15052,2517238
3,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x43506849d7c04f9138d1a2050bbf3a0c054402dd,delegatecall,transfer,2491990,14263,2477727
2,0xbbbbbbbbbb9cc5e90e3b3af64bdaf62c37eeffcb,0x80bf7db69556d9521c03461978b8fc731dbbd4e4,call,Unresolved_31f57072,2516079,1579769,936310
3,0x80bf7db69556d9521c03461978b8fc731dbbd4e4,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,call,swap,2473273,122659,2350614
4,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,call,transfer,2346519,12862,2333657
